time,increased,absolute
2015-09-13 10:14:13,10048,10048
2015-09-13 10:54:45,1414,11462
2015-09-13 11:47:58,1339,12801
2015-09-13 13:11:56,519,13320
2015-09-13 14:04:29,8052,21372
2015-09-13 16:18:00,5351,26723
2015-09-13 18:06:00,15655,42378
2015-09-13 18:54:40,26045,68423
