time,increased,absolute
2015-09-13 04:33:18,4215,4215
2015-09-13 05:21:13,2490,6705
2015-09-13 07:29:29,3504,10209
2015-09-13 08:28:50,5879,16088
2015-09-13 09:28:18,2465,18553
2015-09-13 10:10:44,3680,22233
2015-09-13 11:30:12,5311,27544
2015-09-13 12:27:59,2904,30448
2015-09-13 13:21:59,1711,32159
2015-09-13 14:29:43,3471,35630
2015-09-13 15:27:12,2554,38184
2015-09-13 16:26:18,2133,40317
2015-09-13 17:27:35,8810,49127
2015-09-13 18:17:01,26977,76104
2015-09-13 18:53:50,13638,89742
2015-09-13 19:49:17,11964,101706
